-----------------------------------------------------
| IP              | Day of Week     | Visits number |
-----------------------------------------------------
| 200.197.197.197 | Thursday        | 3             |
| 200.197.198.198 | Monday          | 3             |
| 200.197.198.200 | Tuesday         | 1             |
| 200.197.199.197 | Saturday        | 2             |
| 199.198.199.199 | Saturday        | 1             |
| 197.197.200.199 | Sunday          | 2             |
| 200.197.197.199 | Friday          | 1             |
| 199.200.199.198 | Monday          | 1             |
| 197.200.197.200 | Saturday        | 1             |
| 199.197.198.197 | Friday          | 2             |
| 198.197.200.200 | Thursday        | 3             |
| 198.197.197.197 | Saturday        | 2             |
| 197.199.197.200 | Sunday          | 3             |
| 199.198.199.198 | Sunday          | 2             |
| 197.199.197.199 | Thursday        | 2             |
| 200.198.197.200 | Sunday          | 1             |
| 198.199.200.199 | Sunday          | 1             |
| 199.197.197.197 | Saturday        | 3             |
| 197.199.199.197 | Friday          | 1             |
| 197.199.199.200 | Friday          | 2             |
| 198.198.197.200 | Saturday        | 4             |
| 198.200.198.197 | Sunday          | 2             |
| 197.198.197.199 | Thursday        | 1             |
| 200.200.200.197 | Saturday        | 2             |
| 200.199.199.200 | Friday          | 1             |
| 200.200.198.199 | Thursday        | 2             |
| 199.200.198.197 | Thursday        | 2             |
| 197.197.197.197 | Friday          | 2             |
| 200.200.197.197 | Friday          | 1             |
| 197.199.200.200 | Thursday        | 2             |
| 200.199.200.197 | Friday          | 2             |
| 198.199.199.199 | Monday          | 1             |
| 197.200.198.200 | Wednesday       | 4             |
| 198.200.197.200 | Saturday        | 2             |
| 197.197.200.198 | Monday          | 1             |
| 197.197.198.200 | Monday          | 1             |
| 200.198.199.198 | Friday          | 3             |
| 198.197.200.197 | Sunday          | 2             |
| 199.197.198.200 | Friday          | 2             |
| 200.198.200.197 | Saturday        | 2             |
| 198.199.200.197 | Monday          | 2             |
| 199.198.199.200 | Saturday        | 2             |
| 197.200.199.199 | Tuesday         | 2             |
| 200.198.197.199 | Saturday        | 4             |
| 198.197.199.200 | Thursday        | 2             |
| 198.200.200.200 | Monday          | 2             |
| 199.197.197.200 | Monday          | 3             |
| 198.198.200.198 | Monday          | 2             |
| 200.199.199.198 | Monday          | 1             |
| 197.197.197.200 | Monday          | 1             |
| 199.200.200.200 | Sunday          | 1             |
| 197.197.197.198 | Monday          | 1             |
| 200.197.199.199 | Sunday          | 1             |
| 199.200.199.200 | Thursday        | 2             |
| 199.197.199.200 | Tuesday         | 2             |
| 200.198.199.197 | Friday          | 1             |
| 198.200.199.197 | Friday          | 2             |
| 197.200.199.200 | Tuesday         | 3             |
| 198.199.198.198 | Monday          | 1             |
| 197.197.198.197 | Wednesday       | 3             |
| 198.200.197.197 | Thursday        | 2             |
| 199.200.197.199 | Tuesday         | 1             |
| 200.198.197.197 | Saturday        | 1             |
| 199.199.199.199 | Friday          | 1             |
| 198.199.200.200 | Thursday        | 2             |
| 199.198.198.200 | Saturday        | 2             |
| 198.198.198.197 | Monday          | 3             |
| 197.198.197.198 | Monday          | 1             |
| 199.198.198.198 | Friday          | 2             |
| 197.199.197.197 | Friday          | 1             |
| 199.197.200.200 | Saturday        | 2             |
| 197.199.199.198 | Monday          | 2             |
| 198.198.199.198 | Thursday        | 1             |
| 200.199.197.197 | Friday          | 3             |
| 200.200.200.198 | Tuesday         | 3             |
| 197.197.200.197 | Wednesday       | 1             |
| 200.197.199.198 | Saturday        | 1             |
| 198.199.200.198 | Thursday        | 3             |
| 197.200.199.197 | Monday          | 1             |
| 200.199.197.198 | Wednesday       | 2             |
| 200.200.199.200 | Sunday          | 2             |
| 199.199.197.198 | Thursday        | 2             |
| 199.198.197.198 | Thursday        | 2             |
| 198.200.197.198 | Sunday          | 3             |
| 199.200.198.199 | Sunday          | 3             |
| 199.200.200.197 | Thursday        | 2             |
| 198.200.199.200 | Saturday        | 2             |
| 197.200.200.200 | Thursday        | 2             |
| 199.197.197.198 | Saturday        | 1             |
| 198.198.200.200 | Wednesday       | 3             |
| 199.198.198.197 | Friday          | 2             |
| 198.200.198.198 | Friday          | 2             |
| 200.198.200.198 | Thursday        | 2             |
| 197.198.197.197 | Wednesday       | 1             |
| 197.200.197.198 | Tuesday         | 2             |
| 199.197.197.199 | Friday          | 2             |
| 198.197.199.198 | Sunday          | 1             |
| 199.199.197.199 | Sunday          | 2             |
| 199.200.198.198 | Saturday        | 2             |
| 197.198.200.200 | Tuesday         | 1             |
| 198.200.198.200 | Friday          | 3             |
| 200.198.200.199 | Monday          | 1             |
| 197.199.198.198 | Wednesday       | 2             |
| 199.197.200.199 | Wednesday       | 2             |
| 200.200.199.198 | Sunday          | 4             |
| 198.198.200.199 | Saturday        | 1             |
| 200.200.198.198 | Thursday        | 2             |
| 197.198.198.198 | Sunday          | 1             |
| 199.199.200.198 | Tuesday         | 2             |
| 200.198.198.198 | Monday          | 2             |
| 200.198.198.197 | Thursday        | 1             |
| 197.198.199.199 | Saturday        | 2             |
| 199.200.197.198 | Saturday        | 2             |
| 200.199.199.197 | Sunday          | 1             |
| 198.197.198.199 | Monday          | 2             |
| 200.199.200.200 | Monday          | 2             |
| 200.199.198.198 | Monday          | 1             |
| 200.200.197.199 | Thursday        | 2             |
| 199.199.198.197 | Monday          | 3             |
| 197.199.198.197 | Tuesday         | 3             |
| 198.199.197.200 | Saturday        | 2             |
| 200.200.200.200 | Wednesday       | 1             |
| 200.197.200.197 | Tuesday         | 2             |
| 198.200.199.198 | Friday          | 1             |
| 200.198.198.200 | Saturday        | 2             |
| 199.200.197.200 | Saturday        | 2             |
